,date,close,volume,volume_avg,trade_flag,shadow_sum,fee,num,dPrice,sum,dTime,dCode,cash,val,secVal,margin_ratio,open_num,trade_way,pos_num
TF.CFE,2015-06-10 10:45:00,96.535,1074.0,435.0,1,1,40,50000.0,96.535,4826750.0,2015-06-10 10:45:00,TF.CFE,1088810.0,1088810.0,0,0.0,26,多开,1
TF.CFE,2015-06-11 10:00:00,96.125,377.0,487.2,0,0,0.0,-50000.0,96.125,-4806250.0,2015-06-11 10:00:00,TF.CFE,-3737980.0,1072020.0,4810000.0,0.0,26,多平,1
TF.CFE,2015-06-19 09:30:00,96.48,914.0,405.8,1,-1,40,-50000.0,96.48,-4824000.0,2015-06-19 09:30:00,TF.CFE,1068270.0,1068270.0,0,0.0,27,多开,1
TF.CFE,2015-06-23 10:00:00,95.985,567.0,645.4,0,0,0.0,50000.0,95.985,4799250.0,2015-06-23 10:00:00,TF.CFE,5892230.0,1095230.0,-4797000.0,0.0,27,多平,1
TF.CFE,2015-06-29 09:30:00,96.03,1810.0,627.6,1,-1,40,-50000.0,96.03,-4801500.0,2015-06-29 09:30:00,TF.CFE,1092980.0,1092980.0,0,0.0,28,多开,1
TF.CFE,2015-06-30 10:00:00,95.93,809.0,678.8,0,0,0.0,50000.0,95.93,4796500.0,2015-06-30 10:00:00,TF.CFE,5894440.0,1089690.0,-4804750.0,0.0,28,多平,1
TF.CFE,2015-07-02 09:30:00,95.445,1458.0,466.2,1,-1,40,-50000.0,95.445,-4772250.0,2015-07-02 09:30:00,TF.CFE,1097940.0,1097940.0,0,0.0,29,多开,1
TF.CFE,2015-07-03 10:00:00,95.995,734.0,625.8,0,0,0.0,50000.0,95.995,4799750.0,2015-07-03 10:00:00,TF.CFE,5870150.0,1070900.0,-4799250.0,0.0,29,多平,1
TF.CFE,2015-07-06 09:30:00,96.56,1200.0,370.0,1,-1,40,-50000.0,96.56,-4828000.0,2015-07-06 09:30:00,TF.CFE,1070400.0,1070400.0,0,0.0,30,多开,1
TF.CFE,2015-07-07 10:00:00,96.935,606.0,663.0,0,0,0.0,50000.0,96.935,4846750.0,2015-07-07 10:00:00,TF.CFE,5898360.0,1044610.0,-4853750.0,0.0,30,多平,1
TF.CFE,2015-07-08 09:30:00,97.465,1623.0,597.4,1,-1,40,-50000.0,97.465,-4873250.0,2015-07-08 09:30:00,TF.CFE,1051610.0,1051610.0,0,0.0,31,多开,1
TF.CFE,2015-07-09 10:00:00,96.8,388.0,758.4,0,1,0.0,50000.0,96.8,4840000.0,2015-07-09 10:00:00,TF.CFE,5924820.0,1088820.0,-4836000.0,0.0,31,多平,1
TF.CFE,2015-07-10 09:30:00,96.835,1224.0,516.2,1,1,40,50000.0,96.835,4841750.0,2015-07-10 09:30:00,TF.CFE,1084820.0,1084820.0,0,0.0,32,多开,1
TF.CFE,2015-07-13 10:00:00,97.045,443.0,505.2,0,0,0.0,-50000.0,97.045,-4852250.0,2015-07-13 10:00:00,TF.CFE,-3756970.0,1100530.0,4857500.0,0.0,32,多平,1
